|Concept|Class
9222|Fast_bowling|http://dbpedia.org/resource/Category:Bowling_(cricket)
9223|Total_internal_reflection|http://dbpedia.org/resource/Category:Physical_optics
9224|Total_internal_reflection|http://dbpedia.org/resource/Category:Physical_phenomena
9225|Total_internal_reflection|http://dbpedia.org/resource/Category:Lighthouses
9226|Total_internal_reflection|http://dbpedia.org/resource/Category:Light
9227|Total_internal_reflection|http://dbpedia.org/resource/Category:Dimensionless_numbers
9228|Total_internal_reflection|http://dbpedia.org/resource/Category:Geometrical_optics
9229|Total_internal_reflection|http://dbpedia.org/resource/Category:Glass_physics
9230|Total_internal_reflection|http://dbpedia.org/resource/Category:Optics
9231|Total_internal_reflection|http://dbpedia.org/resource/Category:Waves
9232|Total_internal_reflection|http://dbpedia.org/resource/Category:Optical_phenomena
9233|Total_internal_reflection|http://dbpedia.org/resource/Category:History_of_physics
9234|Mirror|http://dbpedia.org/resource/Category:Mirrors
9235|Mirror|http://dbpedia.org/resource/Category:Reflective_building_components
9236|Mirror|http://dbpedia.org/resource/Category:Wallcoverings
9237|Mirror|http://dbpedia.org/resource/Category:Glass_applications
9238|Real_image|http://dbpedia.org/resource/Category:Geometrical_optics
9239|Virtual_image|http://dbpedia.org/resource/Category:Geometrical_optics
9240|Parabolic_reflector|http://dbpedia.org/resource/Category:Mirrors
9241|Parabolic_reflector|http://dbpedia.org/resource/Category:Parabolas
9242|Amusement_park|http://dbpedia.org/resource/Category:Amusement_parks
9243|Amusement_park|http://dbpedia.org/resource/Category:Children's_entertainment
9244|Center_of_curvature|http://dbpedia.org/resource/Category:Differential_geometry
9245|Center_of_curvature|http://dbpedia.org/resource/Category:Concepts_in_physics
9246|Center_of_curvature|http://dbpedia.org/resource/Category:Curves
9247|Center_of_curvature|http://dbpedia.org/resource/Category:Geometric_centers
9248|Circus|http://dbpedia.org/resource/Category:Animal_keeping_by_humans
9249|Circus|http://dbpedia.org/resource/Category:Articles_containing_video_clips
9250|Circus|http://dbpedia.org/resource/Category:Circuses
9251|Circus|http://dbpedia.org/resource/Category:Performing_arts
9252|Curvature|http://dbpedia.org/resource/Category:Articles_containing_video_clips
9253|Curvature|http://dbpedia.org/resource/Category:Curvature_(mathematics)
9254|Curvature|http://dbpedia.org/resource/Category:Multivariable_calculus
9255|Focus_(optics)|http://dbpedia.org/resource/Category:Science_of_photography
9256|Focus_(optics)|http://dbpedia.org/resource/Category:Geometrical_optics
9257|Human_brain|http://dbpedia.org/resource/Category:Human_anatomy_by_organ
9258|Human_brain|http://dbpedia.org/resource/Category:Brain_anatomy
9259|Human_brain|http://dbpedia.org/resource/Category:Brain
9260|Aisle|http://dbpedia.org/resource/Category:Building_engineering
9261|Aisle|http://dbpedia.org/resource/Category:Church_architecture
9262|Aisle|http://dbpedia.org/resource/Category:Architectural_elements
9263|Aisle|http://dbpedia.org/resource/Category:Rooms
9264|Focal_length|http://dbpedia.org/resource/Category:Length
9265|Focal_length|http://dbpedia.org/resource/Category:Science_of_photography
9266|Focal_length|http://dbpedia.org/resource/Category:Geometrical_optics
9267|Lens|http://dbpedia.org/resource/Category:Optical_components
9268|Lens|http://dbpedia.org/resource/Category:Lenses
9269|Thin_lens|http://dbpedia.org/resource/Category:Lenses
9270|Caving|http://dbpedia.org/resource/Category:Caving
9271|Diffraction|http://dbpedia.org/resource/Category:Physical_phenomena
9272|Diffraction|http://dbpedia.org/resource/Category:Diffraction
9273|X-ray|http://dbpedia.org/resource/Category:1895_in_Germany
9274|X-ray|http://dbpedia.org/resource/Category:1895_in_science
9275|X-ray|http://dbpedia.org/resource/Category:Medical_physics
9276|X-ray|http://dbpedia.org/resource/Category:Radiography
9277|X-ray|http://dbpedia.org/resource/Category:Ionizing_radiation
9278|X-ray|http://dbpedia.org/resource/Category:IARC_Group_1_carcinogens
9279|X-ray|http://dbpedia.org/resource/Category:Electromagnetic_spectrum
9280|X-ray|http://dbpedia.org/resource/Category:X-rays
9281|X-ray|http://dbpedia.org/resource/Category:Wilhelm_Röntgen
9282|Curved_mirror|http://dbpedia.org/resource/Category:Mirrors
9283|Grammatical_gender|http://dbpedia.org/resource/Category:Grammatical_gender
9284|Grammatical_gender|http://dbpedia.org/resource/Category:Linguistic_morphology
9285|Fruit|http://dbpedia.org/resource/Category:Pollination
9286|Fruit|http://dbpedia.org/resource/Category:Types_of_food
9287|Fruit|http://dbpedia.org/resource/Category:Fruit
9288|Gravitational_field|http://dbpedia.org/resource/Category:Gravity
9289|Gravitational_field|http://dbpedia.org/resource/Category:Geodesy
9290|Gravitational_field|http://dbpedia.org/resource/Category:General_relativity
9291|Gravitational_field|http://dbpedia.org/resource/Category:Theories_of_gravity
9292|Light_rail|http://dbpedia.org/resource/Category:Light_rail
9293|Light_rail|http://dbpedia.org/resource/Category:Sustainable_urban_planning
9294|Light_rail|http://dbpedia.org/resource/Category:Tram_transport
9295|Diabetes|http://dbpedia.org/resource/Category:Endocrine_diseases
9296|Diabetes|http://dbpedia.org/resource/Category:Wikipedia_medicine_articles_ready_to_translate
9297|Diabetes|http://dbpedia.org/resource/Category:Diabetes
9298|Diabetes|http://dbpedia.org/resource/Category:Wikipedia_emergency_medicine_articles_ready_to_translate
9299|Diabetes|http://dbpedia.org/resource/Category:Metabolic_disorders
9300|Diabetes|http://dbpedia.org/resource/Category:Cardiovascular_diseases
9301|Diabetes|http://dbpedia.org/resource/Category:Disability_by_type
9302|Insulin_receptor|http://dbpedia.org/resource/Category:Clusters_of_differentiation
9303|Insulin_receptor|http://dbpedia.org/resource/Category:Single-pass_transmembrane_proteins
9304|Insulin_receptor|http://dbpedia.org/resource/Category:Tyrosine_kinase_receptors
9305|Insulin_receptor|http://dbpedia.org/resource/Category:EC_2.7.10
9306|Pancreas|http://dbpedia.org/resource/Category:Pancreas
9307|Type_1_diabetes|http://dbpedia.org/resource/Category:Autoimmune_diseases
9308|Type_1_diabetes|http://dbpedia.org/resource/Category:Diabetes
9309|Type_2_diabetes|http://dbpedia.org/resource/Category:Aging-associated_diseases
9310|Type_2_diabetes|http://dbpedia.org/resource/Category:Diabetes
9311|Type_2_diabetes|http://dbpedia.org/resource/Category:Medical_conditions_related_to_obesity
9312|Blood_sugar_level|http://dbpedia.org/resource/Category:Blood_tests
9313|Blood_sugar_level|http://dbpedia.org/resource/Category:Diabetes
9314|Blood_sugar_level|http://dbpedia.org/resource/Category:Human_homeostasis
9315|Blood_sugar_level|http://dbpedia.org/resource/Category:Concentration_indicators
