|Concept|Class
195|Kinetochore|http://www.w3.org/2002/07/owl#Thing
196|Kinetochore|http://dbpedia.org/ontology/Building
197|Metaphase|http://dbpedia.org/ontology/Person
198|Microtubule|http://dbpedia.org/ontology/MilitaryUnit
199|Prophase|http://dbpedia.org/ontology/Person
200|Telophase|http://dbpedia.org/ontology/Person
201|Cell_division|http://www.w3.org/2002/07/owl#Thing
202|Cell_division|http://dbpedia.org/ontology/Election
203|Cell_membrane|http://www.w3.org/2002/07/owl#Thing
204|Cell_membrane|http://dbpedia.org/ontology/AnatomicalStructure
205|Cell_nucleus|http://www.w3.org/2002/07/owl#Thing
206|Cell_nucleus|http://dbpedia.org/ontology/Protein
207|Gene_pool|http://www.w3.org/2002/07/owl#Thing
208|Nuclear_envelope|http://www.w3.org/2002/07/owl#Thing
209|Nuclear_envelope|http://dbpedia.org/ontology/AnatomicalStructure
210|Pathogen|http://www.w3.org/2002/07/owl#Thing
211|Blastocyst|http://www.w3.org/2002/07/owl#Thing
212|Blastocyst|http://dbpedia.org/ontology/AnatomicalStructure
213|Blastocyst|http://dbpedia.org/ontology/Embryology
214|Blastocyst|http://dbpedia.org/ontology/Building
215|Cleavage_(embryo)|http://dbpedia.org/ontology/Organisation
216|Embryo|http://www.w3.org/2002/07/owl#Thing
217|Embryo|http://dbpedia.org/ontology/AnatomicalStructure
218|Embryo|http://dbpedia.org/ontology/Eukaryote
219|Embryo|http://dbpedia.org/ontology/Embryology
220|Embryonic_stem_cell|http://www.w3.org/2002/07/owl#Thing
221|Embryonic_stem_cell|http://dbpedia.org/ontology/AnatomicalStructure
222|In_vitro_fertilisation|http://www.w3.org/2002/07/owl#Thing
223|In_vitro_fertilisation|http://dbpedia.org/ontology/Disease
224|In_vitro_fertilisation|http://dbpedia.org/ontology/Election
225|Inner_cell_mass|http://www.w3.org/2002/07/owl#Thing
226|Inner_cell_mass|http://dbpedia.org/ontology/Place
227|Inner_cell_mass|http://dbpedia.org/ontology/AnatomicalStructure
228|Inner_cell_mass|http://dbpedia.org/ontology/Embryology
229|Petri_dish|http://dbpedia.org/ontology/Work
230|Placenta|http://www.w3.org/2002/07/owl#Thing
231|Placenta|http://dbpedia.org/ontology/AnatomicalStructure
232|Placenta|http://dbpedia.org/ontology/Embryology
233|Stem_cell|http://www.w3.org/2002/07/owl#Thing
234|Stem_cell|http://dbpedia.org/ontology/AnatomicalStructure
235|Stem_cell|http://dbpedia.org/ontology/Embryology
236|Trophoblast|http://www.w3.org/2002/07/owl#Thing
237|Trophoblast|http://dbpedia.org/ontology/AnatomicalStructure
238|Trophoblast|http://dbpedia.org/ontology/Embryology
239|Apoptosis|http://www.w3.org/2002/07/owl#Thing
240|Apoptosis|http://dbpedia.org/ontology/AnatomicalStructure
241|Apoptosis|http://dbpedia.org/ontology/Election
242|Benign_tumor|http://www.w3.org/2002/07/owl#Thing
243|Benign_tumor|http://dbpedia.org/ontology/Place
244|Benign_tumor|http://dbpedia.org/ontology/Disease
245|Cancer|http://www.w3.org/2002/07/owl#Thing
246|Cancer|http://dbpedia.org/ontology/Band
247|Cancer|http://dbpedia.org/ontology/Disease
248|Chemotherapy|http://www.w3.org/2002/07/owl#Thing
249|Chemotherapy|http://dbpedia.org/ontology/TelevisionStation
250|DNA_replication|http://www.w3.org/2002/07/owl#Thing
251|DNA_replication|http://dbpedia.org/ontology/Election
252|Disease|http://www.w3.org/2002/07/owl#Thing
253|Disease|http://dbpedia.org/ontology/Disease
254|Malignancy|http://www.w3.org/2002/07/owl#Thing
255|Malignancy|http://dbpedia.org/ontology/Disease
256|Malignancy|http://dbpedia.org/ontology/Organisation
257|Metastasis|http://www.w3.org/2002/07/owl#Thing
258|Metastasis|http://dbpedia.org/ontology/Disease
259|Metastasis|http://dbpedia.org/ontology/Food
260|Neoplasm|http://www.w3.org/2002/07/owl#Thing
261|Neoplasm|http://dbpedia.org/ontology/Disease
262|Organism|http://www.w3.org/2002/07/owl#Thing
263|Radiation|http://www.w3.org/2002/07/owl#Thing
264|Science|http://www.w3.org/2002/07/owl#Thing
265|Science|http://dbpedia.org/ontology/Company
266|Science|http://dbpedia.org/ontology/MusicGenre
267|Dominance_(genetics)|http://www.w3.org/2002/07/owl#Thing
268|Dominance_(genetics)|http://dbpedia.org/ontology/Person
269|Eye|http://www.w3.org/2002/07/owl#Thing
270|Eye|http://dbpedia.org/ontology/AnatomicalStructure
271|Eye_color|http://www.w3.org/2002/07/owl#Thing
272|Eye_color|http://dbpedia.org/ontology/FictionalCharacter
273|Gregor_Mendel|http://www.w3.org/2002/07/owl#Thing
274|Gregor_Mendel|http://xmlns.com/foaf/0.1/Person
275|Gregor_Mendel|http://dbpedia.org/ontology/Person
276|Gregor_Mendel|http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#NaturalPerson
277|Gregor_Mendel|http://dbpedia.org/ontology/Animal
278|Gregor_Mendel|http://dbpedia.org/ontology/Eukaryote
279|Gregor_Mendel|http://dbpedia.org/ontology/Scientist
280|Gregor_Mendel|http://dbpedia.org/ontology/Species
281|Gregor_Mendel|http://schema.org/Person
282|Hybrid_(biology)|http://www.w3.org/2002/07/owl#Thing
283|Hybrid_(biology)|http://dbpedia.org/ontology/Person
284|Locus_(genetics)|http://dbpedia.org/ontology/Place
285|Phenotype|http://www.w3.org/2002/07/owl#Thing
286|Phenotype|http://dbpedia.org/ontology/HistoricPlace
287|Probability|http://www.w3.org/2002/07/owl#Thing
288|Probability|http://dbpedia.org/ontology/Software
289|Punnett_square|http://dbpedia.org/ontology/Software
290|Visual_perception|http://www.w3.org/2002/07/owl#Thing
291|Visual_perception|http://dbpedia.org/ontology/Disease
292|Visual_perception|http://dbpedia.org/ontology/MusicGenre
293|Zygosity|http://www.w3.org/2002/07/owl#Thing
294|Zygosity|http://dbpedia.org/ontology/University
295|Blood_type|http://www.w3.org/2002/07/owl#Thing
296|Blood_type|http://dbpedia.org/ontology/MeanOfTransportation
297|Canning|http://www.w3.org/2002/07/owl#Thing
298|Canning|http://dbpedia.org/ontology/Software
299|Difference_(philosophy)|http://www.w3.org/2002/07/owl#Thing
300|Even-toed_ungulate|http://www.w3.org/2002/07/owl#Thing
301|Even-toed_ungulate|http://dbpedia.org/ontology/Mammal
302|Even-toed_ungulate|http://dbpedia.org/ontology/Insect
303|Multiple_fruit|http://dbpedia.org/ontology/GovernmentAgency
304|Pink_salmon|http://www.w3.org/2002/07/owl#Thing
305|Tooth|http://www.w3.org/2002/07/owl#Thing
306|Tooth|http://dbpedia.org/ontology/Building
307|Allele_frequency|http://dbpedia.org/ontology/TelevisionStation
308|Anatomical_terms_of_location|http://www.w3.org/2002/07/owl#Thing
309|Frequency|http://www.w3.org/2002/07/owl#Thing
310|Heart|http://www.w3.org/2002/07/owl#Thing
311|Heart|http://dbpedia.org/ontology/AnatomicalStructure
312|Learning|http://www.w3.org/2002/07/owl#Thing
313|Learning|http://dbpedia.org/ontology/Band
314|Learning|http://dbpedia.org/ontology/MusicGenre
315|Mathematics|http://www.w3.org/2002/07/owl#Thing
316|Mathematics|http://dbpedia.org/ontology/Book
317|Mathematics|http://dbpedia.org/ontology/University
318|Mental_disorder|http://www.w3.org/2002/07/owl#Thing
319|Mental_disorder|http://dbpedia.org/ontology/Disease
320|Milk|http://www.w3.org/2002/07/owl#Thing
321|Observation|http://dbpedia.org/ontology/Place
322|Population_genetics|http://www.w3.org/2002/07/owl#Thing
323|Population_genetics|http://dbpedia.org/ontology/Book
324|American_and_British_English_spelling_differences|http://www.w3.org/2002/07/owl#Thing
325|Blood|http://www.w3.org/2002/07/owl#Thing
326|Blood|http://dbpedia.org/ontology/AnatomicalStructure
327|Coagulation|http://www.w3.org/2002/07/owl#Thing
328|Coagulation|http://dbpedia.org/ontology/Election
329|Color_blindness|http://www.w3.org/2002/07/owl#Thing
330|Color_blindness|http://dbpedia.org/ontology/Disease
331|Essentialism|http://www.w3.org/2002/07/owl#Thing
332|Essentialism|http://dbpedia.org/ontology/Company
333|Etiology|http://www.w3.org/2002/07/owl#Thing
334|Etiology|http://dbpedia.org/ontology/Book
335|Free_will|http://www.w3.org/2002/07/owl#Thing
336|Free_will|http://dbpedia.org/ontology/Disease
337|General_relativity|http://www.w3.org/2002/07/owl#Thing
338|Haemophilia|http://www.w3.org/2002/07/owl#Thing
339|Haemophilia|http://dbpedia.org/ontology/Band
340|Haemophilia|http://dbpedia.org/ontology/Disease
341|Incidence_(epidemiology)|http://www.w3.org/2002/07/owl#Thing
342|Incidence_(epidemiology)|http://dbpedia.org/ontology/Software
343|Jesus|http://www.w3.org/2002/07/owl#Thing
344|Jesus|http://xmlns.com/foaf/0.1/Person
345|Jesus|http://dbpedia.org/ontology/Person
346|Jesus|http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#NaturalPerson
347|Jesus|http://dbpedia.org/ontology/Animal
348|Jesus|http://dbpedia.org/ontology/Eukaryote
349|Jesus|http://dbpedia.org/ontology/Species
350|Jesus|http://schema.org/Person
351|Knowledge|http://www.w3.org/2002/07/owl#Thing
352|Knowledge|http://dbpedia.org/ontology/MusicGenre
353|Mass|http://www.w3.org/2002/07/owl#Thing
354|Mean|http://www.w3.org/2002/07/owl#Thing
355|Memory|http://www.w3.org/2002/07/owl#Thing
356|Memory|http://dbpedia.org/ontology/Election
357|Number|http://www.w3.org/2002/07/owl#Thing
358|Parent|http://www.w3.org/2002/07/owl#Thing
359|Parent|http://dbpedia.org/ontology/Person
360|Sex_linkage|http://www.w3.org/2002/07/owl#Thing
361|Sex_linkage|http://dbpedia.org/ontology/Organisation
362|Time|http://www.w3.org/2002/07/owl#Thing
363|Woman|http://www.w3.org/2002/07/owl#Thing
364|Woman|http://dbpedia.org/ontology/Person
365|Woman|http://dbpedia.org/ontology/MusicGenre
366|Y_chromosome|http://www.w3.org/2002/07/owl#Thing
367|Lyme_disease|http://www.w3.org/2002/07/owl#Thing
368|Lyme_disease|http://dbpedia.org/ontology/Disease
369|Plasmid|http://www.w3.org/2002/07/owl#Thing
370|Plasmid|http://dbpedia.org/ontology/ChemicalCompound
371|Plasmid-mediated_resistance|http://www.w3.org/2002/07/owl#Thing
372|Plasmid-mediated_resistance|http://dbpedia.org/ontology/University
373|Acid|http://www.w3.org/2002/07/owl#Thing
374|Acid|http://dbpedia.org/ontology/ChemicalCompound
375|Acid|http://dbpedia.org/ontology/MusicGenre
376|Active_transport|http://www.w3.org/2002/07/owl#Thing
377|Active_transport|http://dbpedia.org/ontology/Organisation
378|Biology|http://www.w3.org/2002/07/owl#Thing
379|Biology|http://dbpedia.org/ontology/Work
380|Biology|http://dbpedia.org/ontology/University
381|Brain|http://www.w3.org/2002/07/owl#Thing
382|Brain|http://dbpedia.org/ontology/AnatomicalStructure
383|Brain|http://dbpedia.org/ontology/Brain
384|Capsid|http://www.w3.org/2002/07/owl#Thing
385|Capsid|http://dbpedia.org/ontology/Mollusca
386|Light|http://www.w3.org/2002/07/owl#Thing
387|Light|http://dbpedia.org/ontology/Species
388|Light|http://dbpedia.org/ontology/RecordLabel
389|Lysogenic_cycle|http://www.w3.org/2002/07/owl#Thing
390|Machine|http://www.w3.org/2002/07/owl#Thing
391|Machine|http://dbpedia.org/ontology/Software
392|Mitochondrial_DNA|http://www.w3.org/2002/07/owl#Thing
393|Mitochondrial_DNA|http://dbpedia.org/ontology/Species
394|Molecule|http://www.w3.org/2002/07/owl#Thing
395|Nucleic_acid|http://www.w3.org/2002/07/owl#Thing
396|Philosophy|http://www.w3.org/2002/07/owl#Thing
397|Philosophy|http://dbpedia.org/ontology/Book
398|Philosophy|http://dbpedia.org/ontology/PersonFunction
399|Viral_disease|http://www.w3.org/2002/07/owl#Thing
400|Viral_disease|http://dbpedia.org/ontology/Disease
401|Adenosine|http://www.w3.org/2002/07/owl#Thing
402|Adenosine|http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#ChemicalObject
403|Adenosine|http://dbpedia.org/ontology/ChemicalSubstance
404|Adenosine|http://dbpedia.org/ontology/ChemicalCompound
405|Adenosine|http://dbpedia.org/ontology/Drug
406|Adenosine_diphosphate|http://www.w3.org/2002/07/owl#Thing
407|Adenosine_diphosphate|http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#ChemicalObject
408|Adenosine_diphosphate|http://dbpedia.org/ontology/ChemicalSubstance
409|Adenosine_diphosphate|http://dbpedia.org/ontology/ChemicalCompound
410|Adenosine_triphosphate|http://www.w3.org/2002/07/owl#Thing
411|Adenosine_triphosphate|http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#ChemicalObject
412|Adenosine_triphosphate|http://dbpedia.org/ontology/ChemicalSubstance
413|Adenosine_triphosphate|http://dbpedia.org/ontology/ChemicalCompound
414|Atom|http://www.w3.org/2002/07/owl#Thing
415|Atom|http://dbpedia.org/ontology/Organisation
416|Chemistry|http://www.w3.org/2002/07/owl#Thing
417|Chemistry|http://dbpedia.org/ontology/Organisation
418|Chemistry|http://dbpedia.org/ontology/University
419|Double_bond|http://www.w3.org/2002/07/owl#Thing
420|Double_bond|http://dbpedia.org/ontology/Album
421|Electron|http://www.w3.org/2002/07/owl#Thing
422|Electron|http://dbpedia.org/ontology/Scientist
423|Energy|http://www.w3.org/2002/07/owl#Thing
424|Energy|http://dbpedia.org/ontology/Building
425|Energy|http://dbpedia.org/ontology/MusicGenre
426|Hydrogen|http://www.w3.org/2002/07/owl#Thing
427|Hydrogen|http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#ChemicalObject
428|Hydrogen|http://dbpedia.org/ontology/ChemicalSubstance
429|Hydrogen|http://dbpedia.org/ontology/ChemicalCompound
430|Hydrogen|http://dbpedia.org/ontology/MilitaryUnit
431|Main_battery|http://dbpedia.org/ontology/Weapon
432|Organic_chemistry|http://www.w3.org/2002/07/owl#Thing
433|Organic_chemistry|http://dbpedia.org/ontology/University
434|Oxygen|http://www.w3.org/2002/07/owl#Thing
435|Oxygen|http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#ChemicalObject
436|Oxygen|http://dbpedia.org/ontology/ChemicalSubstance
437|Oxygen|http://dbpedia.org/ontology/ChemicalCompound
438|Oxygen|http://dbpedia.org/ontology/MilitaryUnit
439|Oxygen|http://dbpedia.org/ontology/RecordLabel
440|Phosphate|http://www.w3.org/2002/07/owl#Thing
441|Phosphate|http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#ChemicalObject
442|Phosphate|http://dbpedia.org/ontology/ChemicalSubstance
443|Phosphate|http://dbpedia.org/ontology/ChemicalCompound
444|Phosphorus|http://www.w3.org/2002/07/owl#Thing
445|Phosphorus|http://dbpedia.org/ontology/MilitaryUnit
446|Resonance_(chemistry)|http://www.w3.org/2002/07/owl#Thing
447|Adaptive_radiation|http://www.w3.org/2002/07/owl#Thing
448|Adaptive_radiation|http://dbpedia.org/ontology/Election
449|Biosynthesis|http://www.w3.org/2002/07/owl#Thing
