Epochs|Learning rate|Layers|Channels|Validation AUC|Validation Precision|Validation Accuracy|Validation F1|Test AUC|Test Precision|Test Accuracy|Test F1|Loss|Duration
100|0.01|1|16|0.39448492439433525|0.3475177304964539|0.4694167852062589|0.3685243517127114|0.42219789603184077|0.38666666666666666|0.47581792318634425|0.3798891340475049|1.2193486284445783|3.345529317855835
150|0.01|1|16|0.4317444643865247|0.39402173913043476|0.4445234708392603|0.411091106938659|0.46574222646694013|0.4327956989247312|0.4644381223328592|0.4330144194079608|1.3923398763379282|5.266153812408447
200|0.01|1|16|0.43487269555997565|0.4582392776523702|0.4473684210526316|0.43784511978560703|0.45497552654848455|0.4698133918770582|0.46088193456614507|0.4488190768174135|1.0612548191463667|7.28010630607605
50|0.01|2|16|0.44290775764909185|0.4598290598290598|0.43314366998577525|0.3628520759381537|0.4465620820341192|0.4583333333333333|0.43029871977240397|0.35759425979133047|1.3118599214643396|3.4185173511505127
100|0.01|2|16|0.4073701612071007|0.46003401360544216|0.43314366998577525|0.3608022784690267|0.4128374837366377|0.46037099494097805|0.43314366998577525|0.3572975090433467|1.1806535325210383|6.757168531417847
150|0.01|2|16|0.4334279626635694|0.4598290598290598|0.43314366998577525|0.3628520759381537|0.44170381356875327|0.45847457627118643|0.43029871977240397|0.3561987689982376|1.3139055806648798|10.042296648025513
200|0.01|2|16|0.4066902869029095|0.45417095777548916|0.4366998577524893|0.41546194984598517|0.44119390784060997|0.4678423236514523|0.45590327169274536|0.43648475545065657|1.203846305109245|13.438695192337036
50|0.01|4|16|0.41646246830794253|0.4607594936708861|0.43385490753911804|0.35845898451830654|0.43642972912269906|0.4607679465776294|0.43314366998577525|0.3529420935656374|1.2869553413219208|8.313217401504517
100|0.01|4|16|0.4122193242130354|0.4606931530008453|0.43385490753911804|0.35916575242379334|0.43669176401077275|0.46063651591289784|0.43314366998577525|0.3544123450602188|1.1201631472424651|19.80537724494934
150|0.01|4|16|0.45065549190727|0.46304163126593034|0.43812233285917496|0.3660738745320062|0.46566128904977444|0.46016949152542375|0.43314366998577525|0.3594137564189705|1.0745240906676372|24.677794933319092
200|0.01|4|16|0.406985708475564|0.4607594936708861|0.43385490753911804|0.35845898451830654|0.4197889961534492|0.4607679465776294|0.43314366998577525|0.3529420935656374|1.3198121168516472|32.621739864349365
50|0.01|6|16|0.45275177101185937|0.49241819632881084|0.4864864864864865|0.39371070083901916|0.4789572832546554|0.48796147672552165|0.4786628733997155|0.38727350449200854|1.1346469205734593|13.140625953674316
100|0.01|6|16|0.43635789716496465|0.46029035012809566|0.43385490753911804|0.36331302778681684|0.4305769421439108|0.4583333333333333|0.43029871977240397|0.35759425979133047|1.192946762131811|26.134424924850464
