|Concept|Class
132|Massachusetts_Institute_of_Technology|http://dbpedia.org/ontology/Organisation
133|Massachusetts_Institute_of_Technology|http://dbpedia.org/ontology/University
134|PDF|http://www.w3.org/2002/07/owl#Thing
135|PDF|http://dbpedia.org/ontology/MusicGenre
136|Salmon|http://www.w3.org/2002/07/owl#Thing
137|Voxel|http://www.w3.org/2002/07/owl#Thing
138|Voxel|http://dbpedia.org/ontology/Software
139|IPhone|http://www.w3.org/2002/07/owl#Thing
140|IPhone|http://dbpedia.org/ontology/Device
141|IPhone|http://dbpedia.org/ontology/InformationAppliance
142|Placebo|http://www.w3.org/2002/07/owl#Thing
143|Probability|http://www.w3.org/2002/07/owl#Thing
144|Probability|http://dbpedia.org/ontology/Software
145|Random_number_generation|http://www.w3.org/2002/07/owl#Thing
146|Random_number_generation|http://dbpedia.org/ontology/Scientist
147|Randomness|http://www.w3.org/2002/07/owl#Thing
148|Randomness|http://dbpedia.org/ontology/Disease
149|Standard_deviation|http://www.w3.org/2002/07/owl#Thing
150|Standard_deviation|http://dbpedia.org/ontology/Software
151|Statistician|http://www.w3.org/2002/07/owl#Thing
152|Statistician|http://dbpedia.org/ontology/PersonFunction
153|Broad_Institute|http://www.w3.org/2002/07/owl#Thing
154|Broad_Institute|http://dbpedia.org/ontology/Company
155|Broad_Institute|http://www.w3.org/2003/01/geo/wgs84_pos#SpatialThing
156|Broad_Institute|http://dbpedia.org/ontology/Building
157|Google_Images|http://www.w3.org/2002/07/owl#Thing
158|Google_Images|http://dbpedia.org/ontology/Organisation
159|Mathematics|http://www.w3.org/2002/07/owl#Thing
160|Mathematics|http://dbpedia.org/ontology/Book
161|Mathematics|http://dbpedia.org/ontology/University
162|Maximum_likelihood_estimation|http://www.w3.org/2002/07/owl#Thing
163|Sample_size_determination|http://dbpedia.org/ontology/Band
164|Sample_size_determination|http://dbpedia.org/ontology/MusicGenre
165|Scikit-learn|http://www.w3.org/2002/07/owl#Thing
166|Scikit-learn|http://dbpedia.org/ontology/Software
167|Scikit-learn|http://schema.org/CreativeWork
168|Scikit-learn|http://dbpedia.org/ontology/Work
169|Wahlburgers|http://www.w3.org/2002/07/owl#Thing
170|Wahlburgers|http://dbpedia.org/ontology/Company
171|Wahlburgers|http://schema.org/Organization
172|Wahlburgers|http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Agent
173|Wahlburgers|http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#SocialPerson
174|Wahlburgers|http://dbpedia.org/ontology/Agent
175|Wahlburgers|http://dbpedia.org/ontology/Organisation
176|Wahlburgers|http://dbpedia.org/ontology/TelevisionShow
177|Central_limit_theorem|http://www.w3.org/2002/07/owl#Thing
178|Confidence_interval|http://www.w3.org/2002/07/owl#Thing
179|Normal_distribution|http://www.w3.org/2002/07/owl#Thing
180|Random_variable|http://www.w3.org/2002/07/owl#Thing
181|Square_root|http://www.w3.org/2002/07/owl#Thing
182|Continuous_mapping_theorem|http://www.w3.org/2002/07/owl#Thing
