|Concept|Class
127|Support_(mathematics)|http://dbpedia.org/resource/Category:Topology
128|Support_(mathematics)|http://dbpedia.org/resource/Category:Real_analysis
129|Support_(mathematics)|http://dbpedia.org/resource/Category:Topology_of_function_spaces
130|Addition|http://dbpedia.org/resource/Category:Addition
131|Addition|http://dbpedia.org/resource/Category:Elementary_arithmetic
132|Addition|http://dbpedia.org/resource/Category:Mathematical_notation
133|Addition|http://dbpedia.org/resource/Category:Articles_with_example_C_code
134|Axiom|http://dbpedia.org/resource/Category:Logic
135|Axiom|http://dbpedia.org/resource/Category:Ancient_Greek_philosophy
136|Axiom|http://dbpedia.org/resource/Category:Concepts_in_the_philosophy_of_science
137|Axiom|http://dbpedia.org/resource/Category:History_of_logic
138|Axiom|http://dbpedia.org/resource/Category:Intellectual_history
139|Axiom|http://dbpedia.org/resource/Category:History_of_philosophy
140|Axiom|http://dbpedia.org/resource/Category:History_of_science
141|Axiom|http://dbpedia.org/resource/Category:Concepts_in_epistemology
142|Axiom|http://dbpedia.org/resource/Category:Concepts_in_metaphysics
143|Axiom|http://dbpedia.org/resource/Category:Deductive_reasoning
144|Axiom|http://dbpedia.org/resource/Category:Reasoning
145|Axiom|http://dbpedia.org/resource/Category:Concepts_in_ethics
146|Axiom|http://dbpedia.org/resource/Category:Concepts_in_logic
147|Axiom|http://dbpedia.org/resource/Category:Mathematical_logic
148|Axiom|http://dbpedia.org/resource/Category:Mathematical_terminology
149|Axiom|http://dbpedia.org/resource/Category:Concepts_in_ancient_Greek_metaphysics
150|Axiom|http://dbpedia.org/resource/Category:History_of_mathematics
151|Axiom|http://dbpedia.org/resource/Category:Formal_systems
152|Axiom|http://dbpedia.org/resource/Category:Mathematical_axioms
153|Axiom|http://dbpedia.org/resource/Category:Philosophical_terminology
154|Ball_(mathematics)|http://dbpedia.org/resource/Category:Spheres
155|Ball_(mathematics)|http://dbpedia.org/resource/Category:Topology
156|Ball_(mathematics)|http://dbpedia.org/resource/Category:Balls
157|Ball_(mathematics)|http://dbpedia.org/resource/Category:Metric_geometry
158|Bounded_set|http://dbpedia.org/resource/Category:Order_theory
159|Bounded_set|http://dbpedia.org/resource/Category:Mathematical_analysis
160|Bounded_set|http://dbpedia.org/resource/Category:Functional_analysis
161|Cover_(topology)|http://dbpedia.org/resource/Category:Topology
162|Cover_(topology)|http://dbpedia.org/resource/Category:General_topology
163|Limit_(mathematics)|http://dbpedia.org/resource/Category:Limits_(mathematics)
164|Limit_(mathematics)|http://dbpedia.org/resource/Category:Asymptotic_analysis
165|Limit_(mathematics)|http://dbpedia.org/resource/Category:Differential_calculus
166|Limit_(mathematics)|http://dbpedia.org/resource/Category:Convergence_(mathematics)
167|Limit_(mathematics)|http://dbpedia.org/resource/Category:General_topology
168|Limit_(mathematics)|http://dbpedia.org/resource/Category:Real_analysis
169|Mathematical_proof|http://dbpedia.org/resource/Category:Mathematical_proofs
170|Mathematical_proof|http://dbpedia.org/resource/Category:Sources_of_knowledge
171|Mathematical_proof|http://dbpedia.org/resource/Category:Mathematical_logic
172|Mathematical_proof|http://dbpedia.org/resource/Category:Mathematical_terminology
173|Partially_ordered_set|http://dbpedia.org/resource/Category:Order_theory
174|Partially_ordered_set|http://dbpedia.org/resource/Category:Binary_relations
175|Sequentially_compact_space|http://dbpedia.org/resource/Category:Properties_of_topological_spaces
176|Sequentially_compact_space|http://dbpedia.org/resource/Category:Compactness_(mathematics)
177|Subsequence|http://dbpedia.org/resource/Category:Sequences_and_series
178|Subsequence|http://dbpedia.org/resource/Category:Elementary_mathematics
179|Theorem|http://dbpedia.org/resource/Category:Statements
180|Theorem|http://dbpedia.org/resource/Category:Logical_consequence
181|Theorem|http://dbpedia.org/resource/Category:Theorems
182|Theorem|http://dbpedia.org/resource/Category:Logical_expressions
183|Theorem|http://dbpedia.org/resource/Category:Mathematical_proofs
184|Theorem|http://dbpedia.org/resource/Category:Mathematical_terminology
185|Union_(set_theory)|http://dbpedia.org/resource/Category:Basic_concepts_in_set_theory
186|Union_(set_theory)|http://dbpedia.org/resource/Category:Operations_on_sets
187|Union_(set_theory)|http://dbpedia.org/resource/Category:Set_theory
188|Union_(set_theory)|http://dbpedia.org/resource/Category:Boolean_algebra
189|Complement_(set_theory)|http://dbpedia.org/resource/Category:Basic_concepts_in_set_theory
190|Complement_(set_theory)|http://dbpedia.org/resource/Category:Operations_on_sets
191|Intersection_(set_theory)|http://dbpedia.org/resource/Category:Basic_concepts_in_set_theory
192|Intersection_(set_theory)|http://dbpedia.org/resource/Category:Operations_on_sets
193|Intersection_(set_theory)|http://dbpedia.org/resource/Category:Intersection
194|Least-upper-bound_property|http://dbpedia.org/resource/Category:Articles_containing_proofs
195|Least-upper-bound_property|http://dbpedia.org/resource/Category:Order_theory
196|Least-upper-bound_property|http://dbpedia.org/resource/Category:Real_analysis
197|Qi|http://dbpedia.org/resource/Category:Qigong
198|Qi|http://dbpedia.org/resource/Category:Vitalism
199|Qi|http://dbpedia.org/resource/Category:Reiki
200|Qi|http://dbpedia.org/resource/Category:Pseudoscience
201|Qi|http://dbpedia.org/resource/Category:Aikido
202|Qi|http://dbpedia.org/resource/Category:Concepts_in_Chinese_folk_religion
203|Qi|http://dbpedia.org/resource/Category:Taoist_cosmology
204|Qi|http://dbpedia.org/resource/Category:Neo-Confucianism
205|Qi|http://dbpedia.org/resource/Category:Energy_(esotericism)
206|Qi|http://dbpedia.org/resource/Category:Consciousness–matter_dualism
207|Qi|http://dbpedia.org/resource/Category:Concepts_in_Chinese_philosophy
208|Qi|http://dbpedia.org/resource/Category:Chinese_martial_arts_terminology
209|Lebesgue_measure|http://dbpedia.org/resource/Category:Measures_(measure_theory)
210|Lemma_(mathematics)|http://dbpedia.org/resource/Category:Lemmas
211|Lemma_(mathematics)|http://dbpedia.org/resource/Category:Mathematical_terminology
212|Totally_bounded_space|http://dbpedia.org/resource/Category:Uniform_spaces
213|Totally_bounded_space|http://dbpedia.org/resource/Category:Compactness_(mathematics)
214|Totally_bounded_space|http://dbpedia.org/resource/Category:Topology
215|Totally_bounded_space|http://dbpedia.org/resource/Category:Functional_analysis
216|Totally_bounded_space|http://dbpedia.org/resource/Category:Metric_geometry
217|Complex_analysis|http://dbpedia.org/resource/Category:Complex_analysis
218|Equality_(mathematics)|http://dbpedia.org/resource/Category:Elementary_arithmetic
219|Equality_(mathematics)|http://dbpedia.org/resource/Category:Equivalence_(mathematics)
220|Equality_(mathematics)|http://dbpedia.org/resource/Category:Binary_relations
221|Equality_(mathematics)|http://dbpedia.org/resource/Category:Mathematical_logic
222|Finite_intersection_property|http://dbpedia.org/resource/Category:Set_theory
223|Finite_intersection_property|http://dbpedia.org/resource/Category:Families_of_sets
224|Finite_intersection_property|http://dbpedia.org/resource/Category:General_topology
225|Logical_conjunction|http://dbpedia.org/resource/Category:Logical_connectives
226|Logical_conjunction|http://dbpedia.org/resource/Category:Semantics
227|Variable_(mathematics)|http://dbpedia.org/resource/Category:Variables_(mathematics)
228|Variable_(mathematics)|http://dbpedia.org/resource/Category:Algebra
229|Variable_(mathematics)|http://dbpedia.org/resource/Category:Syntax_(logic)
230|Variable_(mathematics)|http://dbpedia.org/resource/Category:Calculus
231|Variable_(mathematics)|http://dbpedia.org/resource/Category:Elementary_mathematics
232|Variable_(mathematics)|http://dbpedia.org/resource/Category:Mathematical_logic
233|Augustin-Louis_Cauchy|http://dbpedia.org/resource/Category:Linear_algebraists
234|Augustin-Louis_Cauchy|http://dbpedia.org/resource/Category:Fellows_of_the_American_Academy_of_Arts_and_Sciences
235|Augustin-Louis_Cauchy|http://dbpedia.org/resource/Category:Mathematical_analysts
236|Augustin-Louis_Cauchy|http://dbpedia.org/resource/Category:Corps_des_ponts
237|Augustin-Louis_Cauchy|http://dbpedia.org/resource/Category:French_Roman_Catholics
238|Augustin-Louis_Cauchy|http://dbpedia.org/resource/Category:History_of_calculus
239|Augustin-Louis_Cauchy|http://dbpedia.org/resource/Category:Recipients_of_the_Pour_le_Mérite_(civil_class)
240|Augustin-Louis_Cauchy|http://dbpedia.org/resource/Category:Textbook_writers
241|Augustin-Louis_Cauchy|http://dbpedia.org/resource/Category:1789_births
242|Augustin-Louis_Cauchy|http://dbpedia.org/resource/Category:1857_deaths
243|Augustin-Louis_Cauchy|http://dbpedia.org/resource/Category:19th-century_French_mathematicians
244|Augustin-Louis_Cauchy|http://dbpedia.org/resource/Category:Foreign_Members_of_the_Royal_Society
245|Augustin-Louis_Cauchy|http://dbpedia.org/resource/Category:Members_of_the_French_Academy_of_Sciences
246|Augustin-Louis_Cauchy|http://dbpedia.org/resource/Category:Members_of_the_Royal_Swedish_Academy_of_Sciences
247|Augustin-Louis_Cauchy|http://dbpedia.org/resource/Category:École_Polytechnique_alumni
248|Augustin-Louis_Cauchy|http://dbpedia.org/resource/Category:École_des_Ponts_ParisTech_alumni
249|Augustin-Louis_Cauchy|http://dbpedia.org/resource/Category:University_of_Turin_faculty
250|Augustin-Louis_Cauchy|http://dbpedia.org/resource/Category:Augustin-Louis_Cauchy
251|Augustin-Louis_Cauchy|http://dbpedia.org/resource/Category:French_geometers
252|Banach_fixed-point_theorem|http://dbpedia.org/resource/Category:Articles_containing_proofs
253|Banach_fixed-point_theorem|http://dbpedia.org/resource/Category:Topology
254|Banach_fixed-point_theorem|http://dbpedia.org/resource/Category:Fixed-point_theorems
255|Banach_fixed-point_theorem|http://dbpedia.org/resource/Category:Metric_geometry
256|Contraction_mapping|http://dbpedia.org/resource/Category:Fixed_points_(mathematics)
257|Contraction_mapping|http://dbpedia.org/resource/Category:Metric_geometry
258|Differential_equation|http://dbpedia.org/resource/Category:Differential_equations
259|Fixed_point_(mathematics)|http://dbpedia.org/resource/Category:Game_theory
260|Fixed_point_(mathematics)|http://dbpedia.org/resource/Category:Fixed_points_(mathematics)
261|Lipschitz_continuity|http://dbpedia.org/resource/Category:Structures_on_manifolds
262|Lipschitz_continuity|http://dbpedia.org/resource/Category:Lipschitz_maps
263|Uniform_continuity|http://dbpedia.org/resource/Category:Calculus
264|Uniform_continuity|http://dbpedia.org/resource/Category:Mathematical_analysis
265|Uniform_continuity|http://dbpedia.org/resource/Category:Continuous_mappings
266|Uniform_continuity|http://dbpedia.org/resource/Category:General_topology
267|Equivalence_class|http://dbpedia.org/resource/Category:Equivalence_(mathematics)
268|Equivalence_class|http://dbpedia.org/resource/Category:Set_theory
269|Equivalence_class|http://dbpedia.org/resource/Category:Algebra
270|Equivalence_class|http://dbpedia.org/resource/Category:Binary_relations
271|Geometric_series|http://dbpedia.org/resource/Category:Articles_containing_proofs
272|Geometric_series|http://dbpedia.org/resource/Category:Geometric_series
273|Geometric_series|http://dbpedia.org/resource/Category:Ratios
274|Partial_differential_equation|http://dbpedia.org/resource/Category:Partial_differential_equations
275|Partial_differential_equation|http://dbpedia.org/resource/Category:Differential_equations
276|Partial_differential_equation|http://dbpedia.org/resource/Category:Mathematical_physics
277|Partial_differential_equation|http://dbpedia.org/resource/Category:Multivariable_calculus
278|Square_root_of_2|http://dbpedia.org/resource/Category:Articles_containing_proofs
279|Square_root_of_2|http://dbpedia.org/resource/Category:Mathematical_constants
280|Square_root_of_2|http://dbpedia.org/resource/Category:Pythagorean_theorem
281|Square_root_of_2|http://dbpedia.org/resource/Category:Quadratic_irrational_numbers
282|Banach_space|http://dbpedia.org/resource/Category:Banach_spaces
283|Banach_space|http://dbpedia.org/resource/Category:Science_and_technology_in_Poland
284|Banach_space|http://dbpedia.org/resource/Category:Normed_spaces
285|Bijection|http://dbpedia.org/resource/Category:Basic_concepts_in_set_theory
286|Bijection|http://dbpedia.org/resource/Category:Types_of_functions
287|Bijection|http://dbpedia.org/resource/Category:Mathematical_relations
