Epochs|Learning rate|Layers|Channels|Validation AUC|Validation Precision|Validation Accuracy|Validation F1|Test AUC|Test Precision|Test Accuracy|Test F1|Loss|Duration
50|0.01|4|16|0.7794523932526223|0.7329192546583851|0.6777251184834123|0.6731365044650993|0.8045865995822197|0.7891566265060241|0.7274881516587678|0.7243537677710312|27.09792533516884|13.792591571807861
100|0.01|4|16|0.7784191729745513|0.7120418848167539|0.6919431279620853|0.6912496341820311|0.8194110644414995|0.7546296296296297|0.7606635071090048|0.7606299035712881|37.20919110160321|27.13783049583435
150|0.01|4|16|0.7732979942049819|0.715|0.7037914691943128|0.7035900720936374|0.8255430021787471|0.7477477477477478|0.7606635071090048|0.7605007782516591|42.41497564868769|39.63581895828247
200|0.01|4|16|0.7856966375418342|0.7282051282051282|0.7109004739336493|0.7104842881885867|0.8026998495092204|0.7064220183486238|0.7132701421800948|0.7131912264442384|47.39462288092909|52.91327881813049
50|0.01|6|16|0.7985669683969363|0.7241379310344828|0.7156398104265402|0.7155375800471857|0.8245547045214618|0.7355769230769231|0.7322274881516587|0.7322139547943283|27.204326033592224|20.84319567680359
100|0.01|6|16|0.7599559758316301|0.6896551724137931|0.6824644549763034|0.6823502977193574|0.7993531142606859|0.7315789473684211|0.7085308056872038|0.7078072313572729|49.03270003199577|41.5491669178009
150|0.01|6|16|0.8078884122099683|0.7374301675977654|0.7014218009478673|0.69969501863775|0.8287325082545315|0.7602040816326531|0.7417061611374408|0.7413794072832975|61.052805207669735|62.490851402282715
200|0.01|6|16|0.80009433750365|0.7233009708737864|0.7180094786729858|0.7179698863859731|0.7965229891511871|0.7227272727272728|0.7322274881516587|0.7321056386690112|73.68307067616843|82.9730954170227
50|0.1|1|16|0.7404146357898521|0.6875|0.6990521327014217|0.6987662647893657|0.7710069405449113|0.7013574660633484|0.7109004739336493|0.7107380438691118|197.45788690447807|2.715823173522949
100|0.1|1|16|0.7519372880213832|0.6857142857142857|0.6848341232227488|0.6848323534531651|0.7640439343231284|0.7070707070707071|0.6943127962085308|0.694022426439592|517.387401163578|5.5241007804870605
150|0.1|1|16|0.7695694166797691|0.6958762886597938|0.6800947867298578|0.6795747911921032|0.7847083398845488|0.696969696969697|0.6848341232227488|0.6845347497400445|237.1622832119465|8.046350717544556
200|0.1|1|16|0.7430201477954224|0.69|0.6800947867298578|0.6798772778611285|0.7645830057725568|0.6934673366834171|0.6824644549763034|0.6822074856693268|371.9087798241526|11.01934552192688
50|0.1|2|16|0.7634374789425216|0.7372262773722628|0.6540284360189573|0.6430524657026325|0.8019361649558635|0.7654320987654321|0.7037914691943128|0.6997432876260081|3074.75252276659|5.814721584320068
100|0.1|2|16|0.8000494148828643|0.7123287671232876|0.7203791469194313|0.7202786203797327|0.8460726398778106|0.775|0.7606635071090048|0.7605007782516591|1113.5579933077097|11.454161405563354
150|0.1|2|16|0.7863929381640125|0.6901408450704225|0.6919431279620853|0.6919362084456424|0.8213427371352845|0.751269035532995|0.7345971563981043|0.7343047310667387|1541.285093985498|17.476189136505127
200|0.1|2|16|0.7691426517823049|0.6787330316742082|0.6872037914691943|0.6870280474649407|0.812672671323645|0.7163461538461539|0.7132701421800948|0.7132556507089709|1504.1277842521667|23.088539838790894
