Epochs|Learning rate|Layers|Channels|Test Accuracy|Validation AUC|Validation Precision|Validation Accuracy|Test AUC|Test Precision|Loss|Duration
100|0.1|12|64|0.5|0.5|0.0|0.5|0.5|0.0||116.12019324302673
200|0.1|12|64|0.5|0.5|0.0|0.5|0.5|0.0||240.25104665756226
50|0.1|16|64|0.5|0.5|0.0|0.5|0.5|0.0||79.58112406730652
100|0.1|16|64|0.5|0.5|0.0|0.5|0.5|0.0||156.38661193847656
200|0.1|16|64|0.5|0.5|0.0|0.5|0.5|0.0||328.80745673179626
50|0.01|4|128|0.49163783160322955|0.49480968858131485|0.4689655172413793|0.49480968858131485|0.49163783160322955|0.45307443365695793|84.1699852347374|32.65897011756897
100|0.01|4|128|0.5297001153402537|0.5337370242214533|0.5893129770992367|0.5337370242214533|0.5297001153402539|0.57984496124031|99.59491801261902|65.5012845993042
200|0.01|4|128|0.5348904267589388|0.5625720876585929|0.5716171617161716|0.5625720876585929|0.5348904267589389|0.5400927766732936|169.37863701581955|132.5782196521759
50|0.01|8|128|0.4942329873125721|0.4942329873125721|0.4970896391152503|0.4942329873125721|0.4942329873125721|0.4970862470862471|680.1656439304352|73.20648860931396
100|0.01|8|128|0.4953863898500577|0.4936562860438293|0.4967911318553092|0.4936562860438293|0.4953863898500577|0.4976608187134503|87158.24341148138|139.16206812858582
200|0.01|8|128|0.5265282583621684|0.5337370242214533|0.5404284727021423|0.5337370242214533|0.5265282583621684|0.5354938271604939|1045.8995128273964|285.4543011188507
50|0.01|12|128|0.510957324106113|0.509515570934256|0.851063829787234|0.509515570934256|0.510957324106113|0.9130434782608695|71512.1503509283|104.20061135292053
100|0.01|12|128|0.48385236447520186|0.4867358708189158|0.49322732626619553|0.4867358708189158|0.48385236447520186|0.4917208752217623|179759522.07795662|208.416100025177
200|0.01|12|128|0.5126874279123415|0.5031718569780853|0.5016452288363745|0.5031718569780853|0.5126874279123415|0.5066666666666667|4737945480061.362|412.61335730552673
50|0.01|16|128|0.5412341407151096|0.52479815455594|0.5172275641025641|0.52479815455594|0.5412341407151096|0.5391351943076081|53404423.691406965|147.20705318450928
100|0.01|16|128|0.5132641291810842|0.5118223760092272|0.847457627118644|0.5118223760092272|0.5132641291810842|0.7875|2817206783408.2427|274.19883370399475
200|0.01|16|128|0.510957324106113|0.5063437139561706|0.6896551724137931|0.5063437139561707|0.510957324106113|0.7567567567567568|49358788494566.086|535.3269457817078
50|0.1|4|128|0.5069204152249135|0.5040369088811996|0.5020870602265951|0.5040369088811996|0.5069204152249135|0.5035820895522388|49120812.90625453|29.410233974456787
100|0.1|4|128|0.5028835063437139|0.4907727797001153|0.4523809523809524|0.49077277970011535|0.5028835063437139|0.515527950310559|85913278464.10782|62.91304922103882
200|0.1|4|128|0.49769319492502884|0.5170126874279124|0.5101689072733541|0.5170126874279123|0.49769319492502884|0.4986120749479528|38904036629.18622|123.66399788856506
50|0.1|8|128|0.47549019607843135|0.47923875432525953|0.4893048128342246|0.47923875432525953|0.47549019607843135|0.48728686808256055|2287972109704826.5|67.85410332679749
100|0.1|8|128|0.4950980392156863|0.4950980392156863|0.4975312227708394|0.4950980392156863|0.4950980392156863|0.49752114319043456|2074637455092345.0|138.69961094856262
200|0.1|8|128|0.5|0.5|0.0|0.5|0.5|0.0||271.80916380882263
50|0.1|12|128|0.5|0.5|0.0|0.5|0.5|0.0||109.56834983825684
100|0.1|12|128|0.5|0.5|0.0|0.5|0.5|0.0||212.96992135047913
