Model|Accuracy|Params|Embedding
RF|0.5915492957746479|(0, 1, 200, 'log_loss')|FastText
RF|0.6647887323943662|(0, 2, 50, 'gini')|FastText
RF|0.6281690140845071|(0, 2, 50, 'entropy')|FastText
RF|0.6281690140845071|(0, 2, 50, 'log_loss')|FastText
RF|0.6704225352112676|(0, 2, 100, 'gini')|FastText
RF|0.6450704225352113|(0, 2, 100, 'entropy')|FastText
RF|0.6450704225352113|(0, 2, 100, 'log_loss')|FastText
RF|0.6563380281690141|(0, 2, 150, 'gini')|FastText
RF|0.6281690140845071|(0, 2, 150, 'entropy')|FastText
RF|0.6281690140845071|(0, 2, 150, 'log_loss')|FastText
RF|0.647887323943662|(0, 2, 200, 'gini')|FastText
RF|0.6366197183098592|(0, 2, 200, 'entropy')|FastText
RF|0.6366197183098592|(0, 2, 200, 'log_loss')|FastText
RF|0.7211267605633803|(0, 5, 50, 'gini')|FastText
RF|0.7267605633802817|(0, 5, 50, 'entropy')|FastText
RF|0.7267605633802817|(0, 5, 50, 'log_loss')|FastText
RF|0.7295774647887324|(0, 5, 100, 'gini')|FastText
RF|0.7352112676056338|(0, 5, 100, 'entropy')|FastText
RF|0.7352112676056338|(0, 5, 100, 'log_loss')|FastText
RF|0.7211267605633803|(0, 5, 150, 'gini')|FastText
RF|0.7408450704225352|(0, 5, 150, 'entropy')|FastText
RF|0.7408450704225352|(0, 5, 150, 'log_loss')|FastText
RF|0.7295774647887324|(0, 5, 200, 'gini')|FastText
RF|0.723943661971831|(0, 5, 200, 'entropy')|FastText
RF|0.723943661971831|(0, 5, 200, 'log_loss')|FastText
RF|0.7098591549295775|(0, 10, 50, 'gini')|FastText
RF|0.7267605633802817|(0, 10, 50, 'entropy')|FastText
RF|0.7267605633802817|(0, 10, 50, 'log_loss')|FastText
RF|0.7380281690140845|(0, 10, 100, 'gini')|FastText
RF|0.7183098591549296|(0, 10, 100, 'entropy')|FastText
RF|0.7183098591549296|(0, 10, 100, 'log_loss')|FastText
RF|0.7380281690140845|(0, 10, 150, 'gini')|FastText
RF|0.7352112676056338|(0, 10, 150, 'entropy')|FastText
RF|0.7352112676056338|(0, 10, 150, 'log_loss')|FastText
RF|0.7380281690140845|(0, 10, 200, 'gini')|FastText
RF|0.723943661971831|(0, 10, 200, 'entropy')|FastText
RF|0.723943661971831|(0, 10, 200, 'log_loss')|FastText
Linear Regression|0.5352112676056338|None|FastText
SVM|0.5014084507042254|(10, 0.01, 'linear')|FastText
RBF|0.5408450704225352|(1, 0.1, 'rbf')|FastText
RBF|0.7746478873239436|(1, 0.01, 'rbf')|FastText
RBF|0.7352112676056338|(1, 0.001, 'rbf')|FastText
RBF|0.5408450704225352|(10, 0.1, 'rbf')|FastText
RBF|0.7915492957746478|(10, 0.01, 'rbf')|FastText
RBF|0.7605633802816901|(10, 0.001, 'rbf')|FastText
RBF|0.5408450704225352|(100, 0.1, 'rbf')|FastText
RBF|0.7915492957746478|(100, 0.01, 'rbf')|FastText
RBF|0.7746478873239436|(100, 0.001, 'rbf')|FastText
RF|0.5408450704225352|(0, 1, 50, 'gini')|FastText
RF|0.5408450704225352|(0, 1, 50, 'entropy')|FastText
RF|0.5408450704225352|(0, 1, 50, 'log_loss')|FastText
RF|0.5408450704225352|(0, 1, 100, 'gini')|FastText
RF|0.5408450704225352|(0, 1, 100, 'entropy')|FastText
RF|0.5408450704225352|(0, 1, 100, 'log_loss')|FastText
RF|0.5408450704225352|(0, 1, 150, 'gini')|FastText
RF|0.5408450704225352|(0, 1, 150, 'entropy')|FastText
RF|0.5408450704225352|(0, 1, 150, 'log_loss')|FastText
RF|0.5408450704225352|(0, 1, 200, 'gini')|FastText
RF|0.5408450704225352|(0, 1, 200, 'entropy')|FastText
RF|0.5408450704225352|(0, 1, 200, 'log_loss')|FastText
RF|0.5971830985915493|(0, 2, 50, 'gini')|FastText
RF|0.571830985915493|(0, 2, 50, 'entropy')|FastText
RF|0.571830985915493|(0, 2, 50, 'log_loss')|FastText
RF|0.5774647887323944|(0, 2, 100, 'gini')|FastText
RF|0.5690140845070423|(0, 2, 100, 'entropy')|FastText
RF|0.5690140845070423|(0, 2, 100, 'log_loss')|FastText
RF|0.5802816901408451|(0, 2, 150, 'gini')|FastText
RF|0.571830985915493|(0, 2, 150, 'entropy')|FastText
RF|0.571830985915493|(0, 2, 150, 'log_loss')|FastText
RF|0.5802816901408451|(0, 2, 200, 'gini')|FastText
RF|0.5661971830985916|(0, 2, 200, 'entropy')|FastText
RF|0.5661971830985916|(0, 2, 200, 'log_loss')|FastText
RF|0.6985915492957746|(0, 5, 50, 'gini')|FastText
RF|0.6901408450704225|(0, 5, 50, 'entropy')|FastText
RF|0.6901408450704225|(0, 5, 50, 'log_loss')|FastText
RF|0.7154929577464789|(0, 5, 100, 'gini')|FastText
RF|0.7098591549295775|(0, 5, 100, 'entropy')|FastText
RF|0.7098591549295775|(0, 5, 100, 'log_loss')|FastText
RF|0.7070422535211267|(0, 5, 150, 'gini')|FastText
RF|0.704225352112676|(0, 5, 150, 'entropy')|FastText
RF|0.704225352112676|(0, 5, 150, 'log_loss')|FastText
RF|0.7154929577464789|(0, 5, 200, 'gini')|FastText
RF|0.7098591549295775|(0, 5, 200, 'entropy')|FastText
RF|0.7098591549295775|(0, 5, 200, 'log_loss')|FastText
RF|0.7267605633802817|(0, 10, 50, 'gini')|FastText
RF|0.7070422535211267|(0, 10, 50, 'entropy')|FastText
RF|0.7070422535211267|(0, 10, 50, 'log_loss')|FastText
RF|0.7323943661971831|(0, 10, 100, 'gini')|FastText
RF|0.7323943661971831|(0, 10, 100, 'entropy')|FastText
RF|0.7323943661971831|(0, 10, 100, 'log_loss')|FastText
RF|0.7408450704225352|(0, 10, 150, 'gini')|FastText
RF|0.7126760563380282|(0, 10, 150, 'entropy')|FastText
RF|0.7126760563380282|(0, 10, 150, 'log_loss')|FastText
RF|0.7267605633802817|(0, 10, 200, 'gini')|FastText
RF|0.7380281690140845|(0, 10, 200, 'entropy')|FastText
RF|0.7380281690140845|(0, 10, 200, 'log_loss')|FastText
Linear Regression|0.5994397759103641|None|FastText
SVM|0.4957983193277311|(10, 0.01, 'linear')|FastText
RBF|0.5630252100840336|(1, 0.1, 'rbf')|FastText
RBF|0.773109243697479|(1, 0.01, 'rbf')|FastText
RBF|0.7310924369747899|(1, 0.001, 'rbf')|FastText
RBF|0.5630252100840336|(10, 0.1, 'rbf')|FastText
RBF|0.7647058823529411|(10, 0.01, 'rbf')|FastText
RBF|0.7871148459383753|(10, 0.001, 'rbf')|FastText
RBF|0.5630252100840336|(100, 0.1, 'rbf')|FastText
RBF|0.7647058823529411|(100, 0.01, 'rbf')|FastText
