Model|Accuracy|Params
RF|0.7549407114624506|(0, 5, 50, 'entropy')
RF|0.7549407114624506|(0, 5, 50, 'log_loss')
RF|0.7687747035573123|(0, 5, 100, 'gini')
RF|0.758893280632411|(0, 5, 100, 'entropy')
RF|0.758893280632411|(0, 5, 100, 'log_loss')
RF|0.758893280632411|(0, 5, 150, 'gini')
RF|0.7509881422924901|(0, 5, 150, 'entropy')
RF|0.7509881422924901|(0, 5, 150, 'log_loss')
RF|0.7648221343873518|(0, 5, 200, 'gini')
RF|0.7608695652173914|(0, 5, 200, 'entropy')
RF|0.7608695652173914|(0, 5, 200, 'log_loss')
RF|0.7450592885375494|(0, 10, 50, 'gini')
RF|0.741106719367589|(0, 10, 50, 'entropy')
RF|0.741106719367589|(0, 10, 50, 'log_loss')
RF|0.7865612648221344|(0, 10, 100, 'gini')
RF|0.7648221343873518|(0, 10, 100, 'entropy')
RF|0.7648221343873518|(0, 10, 100, 'log_loss')
RF|0.7885375494071146|(0, 10, 150, 'gini')
RF|0.7727272727272727|(0, 10, 150, 'entropy')
RF|0.7727272727272727|(0, 10, 150, 'log_loss')
RF|0.7885375494071146|(0, 10, 200, 'gini')
RF|0.7687747035573123|(0, 10, 200, 'entropy')
RF|0.7687747035573123|(0, 10, 200, 'log_loss')
Linear Regression|0.7351778656126482|None
SVM|0.6403162055335968|(1, 0.1, 'linear')
SVM|0.6403162055335968|(1, 0.01, 'linear')
SVM|0.6403162055335968|(1, 0.001, 'linear')
SVM|0.6403162055335968|(1, 0.0001, 'linear')
SVM|0.6403162055335968|(10, 0.1, 'linear')
SVM|0.6403162055335968|(10, 0.01, 'linear')
SVM|0.6403162055335968|(10, 0.001, 'linear')
SVM|0.6403162055335968|(10, 0.0001, 'linear')
SVM|0.6403162055335968|(100, 0.1, 'linear')
SVM|0.6403162055335968|(100, 0.01, 'linear')
SVM|0.6403162055335968|(100, 0.001, 'linear')
SVM|0.6403162055335968|(100, 0.0001, 'linear')
SVM|0.6403162055335968|(1000, 0.1, 'linear')
SVM|0.6403162055335968|(1000, 0.01, 'linear')
SVM|0.6403162055335968|(1000, 0.001, 'linear')
SVM|0.6403162055335968|(1000, 0.0001, 'linear')
RBF|0.5948616600790514|(1, 0.1, 'rbf')
RBF|0.5948616600790514|(1, 0.01, 'rbf')
RBF|0.8596837944664032|(1, 0.001, 'rbf')
RBF|0.7786561264822134|(1, 0.0001, 'rbf')
RBF|0.5948616600790514|(10, 0.1, 'rbf')
RBF|0.5948616600790514|(10, 0.01, 'rbf')
RBF|0.8596837944664032|(10, 0.001, 'rbf')
RBF|0.8320158102766798|(10, 0.0001, 'rbf')
RBF|0.5948616600790514|(100, 0.1, 'rbf')
RBF|0.5948616600790514|(100, 0.01, 'rbf')
RBF|0.8596837944664032|(100, 0.001, 'rbf')
RBF|0.8122529644268774|(100, 0.0001, 'rbf')
RBF|0.5948616600790514|(1000, 0.1, 'rbf')
RBF|0.5948616600790514|(1000, 0.01, 'rbf')
RBF|0.8596837944664032|(1000, 0.001, 'rbf')
RBF|0.8102766798418972|(1000, 0.0001, 'rbf')
RF|0.7075098814229249|(0, 1, 50, 'gini')
RF|0.7134387351778656|(0, 1, 50, 'entropy')
RF|0.7134387351778656|(0, 1, 50, 'log_loss')
RF|0.7391304347826086|(0, 1, 100, 'gini')
RF|0.7292490118577075|(0, 1, 100, 'entropy')
RF|0.7292490118577075|(0, 1, 100, 'log_loss')
RF|0.7470355731225297|(0, 1, 150, 'gini')
RF|0.7470355731225297|(0, 1, 150, 'entropy')
