Model|Accuracy|Params|Embedding
RBF|0.7039473684210527|(1000, 0.0001, 'rbf')|FastText
RF|0.618421052631579|(0, 1, 50, 'gini')|FastText
RF|0.618421052631579|(0, 1, 50, 'entropy')|FastText
RF|0.618421052631579|(0, 1, 50, 'log_loss')|FastText
RF|0.6118421052631579|(0, 1, 100, 'gini')|FastText
RF|0.625|(0, 1, 100, 'entropy')|FastText
RF|0.625|(0, 1, 100, 'log_loss')|FastText
RF|0.6118421052631579|(0, 1, 150, 'gini')|FastText
RF|0.618421052631579|(0, 1, 150, 'entropy')|FastText
RF|0.618421052631579|(0, 1, 150, 'log_loss')|FastText
RF|0.625|(0, 1, 200, 'gini')|FastText
RF|0.618421052631579|(0, 1, 200, 'entropy')|FastText
RF|0.618421052631579|(0, 1, 200, 'log_loss')|FastText
RF|0.6513157894736842|(0, 2, 50, 'gini')|FastText
RF|0.6513157894736842|(0, 2, 50, 'entropy')|FastText
RF|0.6513157894736842|(0, 2, 50, 'log_loss')|FastText
RF|0.6381578947368421|(0, 2, 100, 'gini')|FastText
RF|0.6381578947368421|(0, 2, 100, 'entropy')|FastText
RF|0.6381578947368421|(0, 2, 100, 'log_loss')|FastText
RF|0.6513157894736842|(0, 2, 150, 'gini')|FastText
RF|0.6381578947368421|(0, 2, 150, 'entropy')|FastText
RF|0.6381578947368421|(0, 2, 150, 'log_loss')|FastText
RF|0.6513157894736842|(0, 2, 200, 'gini')|FastText
RF|0.6381578947368421|(0, 2, 200, 'entropy')|FastText
RF|0.6381578947368421|(0, 2, 200, 'log_loss')|FastText
RF|0.6973684210526315|(0, 5, 50, 'gini')|FastText
RF|0.7368421052631579|(0, 5, 50, 'entropy')|FastText
RF|0.7368421052631579|(0, 5, 50, 'log_loss')|FastText
RF|0.6973684210526315|(0, 5, 100, 'gini')|FastText
RF|0.6973684210526315|(0, 5, 100, 'entropy')|FastText
RF|0.6973684210526315|(0, 5, 100, 'log_loss')|FastText
RF|0.6842105263157895|(0, 5, 150, 'gini')|FastText
RF|0.6907894736842105|(0, 5, 150, 'entropy')|FastText
RF|0.6907894736842105|(0, 5, 150, 'log_loss')|FastText
RF|0.6842105263157895|(0, 5, 200, 'gini')|FastText
RF|0.7302631578947368|(0, 5, 200, 'entropy')|FastText
RF|0.7302631578947368|(0, 5, 200, 'log_loss')|FastText
RF|0.6710526315789473|(0, 10, 50, 'gini')|FastText
RF|0.7368421052631579|(0, 10, 50, 'entropy')|FastText
RF|0.7368421052631579|(0, 10, 50, 'log_loss')|FastText
RF|0.6907894736842105|(0, 10, 100, 'gini')|FastText
RF|0.7171052631578947|(0, 10, 100, 'entropy')|FastText
RF|0.7171052631578947|(0, 10, 100, 'log_loss')|FastText
RF|0.6973684210526315|(0, 10, 150, 'gini')|FastText
RF|0.7236842105263158|(0, 10, 150, 'entropy')|FastText
RF|0.7236842105263158|(0, 10, 150, 'log_loss')|FastText
RF|0.75|(0, 10, 200, 'gini')|FastText
RF|0.75|(0, 10, 200, 'entropy')|FastText
RF|0.75|(0, 10, 200, 'log_loss')|FastText
